Product_ID,Base
1,Extra White
1,Deep
2,Extra White
2,Deep
2,Ultradeep
2,Real Red
2,Bright Yellow
3,White
4,Extra White
4,Deep
5,Extra White
6,Extra White
7,Extra White
7,Deep
7,Ultradeep
8,Extra White
8,Deep
8,Ultradeep
9,Extra White
9,Deep 
9,Ultradeep
10,Extra White
10,Deep
10,Ultradeep
10,Accent
11,Ultrawhite
11,Extra White
11,Deep
11,Ultradeep
11,Accent
12,Ultrawhite
12,Extra White
12,Deep
12,Ultradeep
13,Extra White
13,Deep
14,Extra White
14,Deep
14,Ultradeep
14,Black
14,Safety Yellow
14,Safety Red
15,Extra White
15,Deep
15,Ultradeep
15,Safety Yellow
15,Safety Red
15,Black
16,Ultrawhite
16,Extra White
16,Deep
16,Ultradeep
16,Black
17,Extra White
17,Deep
17,Ultradeep
18,Extra White
18,Deep
18,Ultradeep
18,Light Yellow
19,Extra White
19,Deep
19,Ultradeep
19,Light Yellow
20,Extra White
20,Super White
20,Deep 
20,Ultradeep
20,Light Yellow
20,Vivid Yellow
20,Real Red
21,Extra White
21,Deep
21,Ultradeep
22,Extra White
22,Deep
22,Ultradeep
23,Extra White
23,Deep
23,Ultradeep
24,Extra White
25,Extra White
25,Deep
