Product_ID,Appearance,Easy_Clean,Durability,Mold_&_Mildew_Resistance,Coverage,Application,QSum
1,1,1,1,1,1,1,6
2,2,1,1,2,3,3,12
3,2,1,1,1,3,3,11
4,2,1,2,1,2,2,10
5,2,1,1,1,2,1,8
6,2,1,1,1,2,1,8
7,3,3,3,1,2,2,14
8,3,1,2,2,2,3,13
9,2,2,2,2,2,2,12
10,2,3,3,3,2,2,15
11,3,3,3,3,2,3,17
12,3,3,3,3,3,3,18
13,3,3,3,2,2,2,15
14,3,3,3,2,2,2,15
15,3,3,3,2,2,3,16
16,3,3,3,2,2,3,16
17,3,2,2,2,2,3,14
18,2,2,2,2,0,2,10
19,2,2,3,2,0,2,11
20,2,2,3,3,0,3,13
21,3,2,3,2,0,3,13
22,3,3,3,3,0,3,15
23,1,1,1,1,0,2,6
24,3,1,1,2,2,2,11
25,2,2,2,1,1,2,10
