Product_ID,Sheen
1,Flat
1,LowSheen Eggshell
1,Eggshell
1,Semigloss
1,Gloss
2,Flat
2,Eggshell
2,Semigloss
2,LowSheen Eggshell
2,Gloss
3,Flat
4,Flat
4,Eggshell
4,Semigloss
5,Flat
6,Flat
7,Semigloss
7,Satin
8,Flat
8,Low Lustre
8,Medium Lustre
8,Pearl
8,Eggshell
9,Flat
9,Satin
9,Semigloss
9,Velvet
10,Flat
10,Matte
10,Satin
10,Semigloss
11,Satin
11,Matte
11,Semigloss
11,Flat
12,Flat
12,Gloss
12,Satin
12,Eggshell
13,Semigloss
13,Satin
14,Gloss
14,Satin
15,High Gloss
15,Satin
15,Gloss
16,Gloss
16,Satin
16,Semigloss
17,Semigloss
17,Gloss
17,Satin
17,Eggshell
17,Flat
18,Flat
18,High Gloss
18,Satin
18,Gloss
18,Low Lustre
19,Satin
19,Flat
19,Gloss
19,Low Lustre
20,Flat
20,Satin
20,Gloss
21,Flat
21,Satin
21,Gloss
22,Flat
22,Satin
22,Gloss
23,Flat
23,Satin
23,Gloss
23,Low Sheen
24,Flat
25,Satin
25,Semigloss
25,Gloss
25,High Gloss
